Rank,Urban Area,Population Estimate (2025),1 Year Change (over 2024),Land Area (Km²),Density (P/Km²),Global Rank,Projections (2030),Projections (2050)
901,Bodhan,114559,0.81%,13,8812,5370,117746,123557
902,Palitana,114454,0.53%,11,10405,5376,119036,133251
903,Talegaon Dabhade,114360,1.48%,28,4084,5379,119337,185261
904,Gummidipundi,114325,0.60%,18,6351,5381,117760,129550
905,Chakradharpur,114281,0.51%,13,8791,5384,117193,122110
906,Palwancha,114261,-0.05%,24,4761,5385,113992,109574
907,Sahar,114254,1.19%,21,5441,5388,120948,142904
908,Gokak,114238,0.55%,12,9520,5390,115906,119327
909,Tirukkovilur,114170,0.77%,22,5190,5393,120764,126340
910,Nutanbilkumari,114165,0.55%,26,4391,5394,117263,123400
911,Lonavala,114076,0.88%,21,5432,5399,120946,142248
912,Chomu,114019,0.95%,23,4957,5403,118028,146227
913,Mohania,113786,1.84%,18,6321,5410,119148,140269
914,Bhatkal,113728,0.82%,14,8123,5413,118376,147769
915,Chandrapura,113580,0.61%,23,4938,5422,121428,128447
916,Kalpi,113570,0.53%,7,16224,5423,116592,123787
917,Parhati,113542,8.14%,47,2416,5427,124499,170629
918,Pattukkottai,113537,0.38%,13,8734,5428,117220,127354
919,Sangareddy,113373,0.48%,13,8721,5436,116085,126704
920,Bangarmau,112974,0.98%,13,8690,5460,127422,142580
921,Bahadurpur,112863,7.31%,23,4907,5466,119543,165597
922,Hata,112711,1.26%,29,3887,5473,123170,218603
923,Rajgangpur,112614,3.14%,16,7038,5477,118817,143741
924,Tiruvetipuram,112541,0.56%,13,8657,5480,115680,122001
925,Tanduru,112361,0.95%,16,7023,5490,116395,121199
926,Raniyan,112256,1.11%,18,6236,5497,116215,155481
927,Kathua,112099,1.40%,23,4874,5506,115577,121670
928,Rath,111978,0.50%,9,12442,5515,114779,124061
929,Bikramganj,111959,2.40%,9,12440,5516,121001,142549
930,Sabalgarh,111946,1.15%,10,11195,5518,116854,140133
931,Kanhangad,111875,0.94%,37,3024,5522,117103,142429
932,Bhatapara,111814,1.12%,13,8601,5526,121301,137321
933,Lauria Nandangarh,111736,2.06%,26,4298,5532,137822,159356
934,Khaga,111135,0.66%,12,9261,5552,119168,130755
935,Phusro,111005,0.55%,19,5842,5558,114063,121390
936,Supaul,111000,2.72%,24,4625,5559,116906,135605
937,Khatīma,110976,1.43%,18,6165,5561,117773,144551
938,Rayachoti,110962,0.24%,8,13870,5563,112274,119919
939,Devsar,110864,5.29%,19,5835,5567,126028,155675
940,Thalaiyuthu,110851,0.93%,13,8527,5568,114548,122462
941,Nokha,110760,0.96%,18,6153,5577,114752,133696
942,Barwani,110727,0.95%,13,8517,5578,115928,132112
943,Kavali,110508,0.47%,9,12279,5586,113070,127462
944,Hamirpur,110495,0.93%,14,7893,5588,120135,160983
945,Unjha,110399,0.68%,10,11040,5592,115614,145425
946,Wani,110296,0.33%,13,8484,5598,112091,114558
947,Maniar,110221,1.01%,35,3149,5599,115749,131884
948,Bilimora,110202,1.37%,13,8477,5600,116537,137112
949,Kakdwip,110132,2.21%,24,4589,5602,114574,123766
950,Sivasagar,110111,0.75%,27,4078,5606,112443,119926
951,Rampurhat,110078,0.64%,12,9173,5608,112175,114678
952,Akbarpur,109949,4.40%,31,3547,5616,197303,313766
953,Fatehabad,109868,0.84%,18,6104,5621,114439,128762
954,Sirkazhi,109784,0.45%,13,8445,5624,112250,117993
955,Dalkola,109689,1.05%,35,3134,5630,115391,140258
956,Manihari,109630,1.37%,30,3654,5633,117171,135320
957,Joura,109591,0.93%,8,13699,5634,119484,137330
958,Abhayapuri,109482,1%,17,6440,5642,113471,147508
959,Bethuadahari,109472,0.42%,9,12164,5643,113295,116824
960,Udhagamandalam,109413,0.57%,15,7294,5646,112538,125932
961,Sonagar,109354,0.45%,42,2604,5652,116663,124220
962,Bangarapete,109149,0.71%,18,6064,5666,113012,129906
963,Panna,108751,1.07%,11,9886,5686,113180,129917
964,Tenkasi,108217,0.63%,15,7214,5710,113151,120214
965,Vishunpur,108186,1.61%,41,2639,5711,133027,183754
966,Hodal,108137,1.39%,13,8318,5714,114156,144451
967,Madanpur,108112,1.28%,35,3089,5715,122626,178814
968,Pernampattu,108107,0.97%,10,10811,5717,111938,128086
969,Puttur,108095,0.80%,21,5147,5720,114231,125138
970,Vyara,108033,1.21%,12,9003,5723,114836,142217
971,Jagatsinghpur,107659,0.39%,16,6729,5739,109754,151838
972,Pandua,107310,0.53%,17,6312,5757,111678,128862
973,Saidabad,107147,1.98%,51,2101,5768,150595,204067
974,Tariani Chowk,106937,1.20%,29,3687,5778,113297,154770
975,Khargone,106880,1.30%,16,6680,5782,112667,129886
976,Sirinagar,106683,2.33%,48,2223,5792,111700,157665
977,Nawabganj,106640,1.09%,9,11849,5796,110929,143318
978,Matabhanga,106509,0.92%,12,8876,5797,111342,130556
979,Biaora,106324,1.07%,11,9666,5807,111974,153761
980,Chatra,106305,1.38%,12,8859,5808,115235,133789
981,Kadiri,106005,0.37%,10,10601,5827,109417,122296
982,Lanka,105381,1.86%,19,5546,5854,109130,129868
983,Dibai,105239,0.92%,20,5262,5862,110061,126486
984,Sri Kalahasti,105237,1.38%,15,7016,5863,108333,116529
985,Dolvi,105214,1.81%,13,8093,5869,110154,132680
986,Jainagar,105191,3.44%,21,5009,5870,111621,148126
987,Ramanagara,105110,0.65%,12,8759,5875,110075,119037
988,Shorapur,104827,0.35%,12,8736,5891,106642,114306
989,Byasanagar,104793,0.59%,22,4763,5894,107851,113606
990,Paliganj,104740,5.44%,22,4761,5895,115807,169991
991,Ballarpur,104697,0.35%,12,8725,5898,106548,109270
992,Uran,104647,5.02%,35,2990,5904,116159,136736
993,Unchahar,104620,1.56%,19,5506,5907,110178,137050
994,Rasra,104603,2.90%,17,6153,5909,109081,150656
995,Swarupnagar,104567,0.65%,41,2550,5911,113638,120178
996,Haveri,104564,0.55%,11,9506,5912,105924,107156
997,Sahaswan,104364,1.21%,8,13046,5922,114977,129436
998,Abu Road,104271,1.74%,20,5214,5929,112606,159420
999,Kuchaman,104111,1.31%,15,6941,5941,107969,129430
1000,Mangalagiri,104101,-0.04%,18,5783,5943,103873,100166
1001,Dibiyapur,104070,0.98%,17,6122,5945,110826,121904
1002,Pilani,104008,1.72%,19,5474,5947,107966,117438
1003,Bodinayakkanur,103887,0.49%,10,10389,5955,108008,119067
1004,Khambhaliya,103878,0.88%,19,5467,5956,108606,120424
1005,Charkhi Dadri,103645,0.98%,15,6910,5976,110232,123015
1006,Gaighat,103613,–,40,2590,5979,110367,164194
1007,Chandpara,103552,1.52%,15,6903,5984,106724,116323
1008,R S Pura,103542,0.66%,24,4314,5985,106935,136175
1009,Gadchiroli,103366,0.41%,17,6080,5993,105498,108769
1010,Kotkapura,102951,0.74%,13,7919,6009,106728,124387
1011,Banka,102912,1.09%,10,10291,6010,110113,147774
1012,Kattumannarkoil,102818,0.44%,14,7344,6015,105063,108583
1013,Suratgarh,102818,1.10%,16,6426,6016,107063,116703
1014,Gursahaiganj,102813,2.03%,15,6854,6018,108668,163184
1015,Jagraon,102766,1.20%,17,6045,6020,107498,125191
1016,Kalpetta,102705,0.69%,13,7900,6023,127342,139004
1017,Siruguppa,102668,0.32%,8,12834,6026,104303,106060
1018,Barhiya,102557,1.20%,13,7889,6034,108619,127096
1019,Keshod,102064,0.45%,11,9279,6053,104359,111218
1020,Porsa,101979,0.84%,7,14568,6058,106218,138004
1021,Kundla,101909,0.51%,10,10191,6064,104482,113279
1022,Petlad,101698,0.90%,13,7823,6075,106238,129248
1023,Siltara,101599,1.17%,24,4233,6082,106076,117793
1024,Chakdaha,101447,0.46%,18,5636,6092,103791,108941
1025,Srivilliputtur,101105,1.40%,13,7777,6111,104106,111553
1026,Sirsi,100904,0.95%,15,6727,6124,105633,118113
1027,Tral,100795,2.87%,23,4382,6129,118631,171490
1028,Kanth,100769,1.04%,14,7198,6131,105959,123751
1029,Shegaon,100754,0.83%,14,7197,6133,103506,109534
1030,Ahmadpur,100723,0.54%,9,11191,6134,103434,109006
1031,Satar Halt,100711,2.38%,40,2518,6135,105981,141200
1032,Belsand,100614,9.74%,36,2795,6141,107619,150964
1033,Nilambur,100493,0.70%,13,7730,6147,116209,125893
1034,Senapati,100355,0.52%,11,9123,6157,102940,107566
1035,Baisi,100294,6.13%,40,2507,6159,107475,173972
1036,Majri,100184,0.98%,13,7706,6165,103843,109558
1037,Mehkar,99977,0.39%,7,14282,6174,101910,105585
1038,Challakere,99924,0.80%,12,8327,6177,103874,115137
1039,Tirwaganj,99699,2.30%,18,5539,6189,104254,124255
1040,Barbigha,99696,1.12%,14,7121,6190,176135,226227
1041,Piprarhi,99534,1.61%,31,3211,6203,105939,145089
1042,Jalalabad,99526,0.87%,13,7656,6204,110455,134626
1043,Nasriganj,99492,1.18%,11,9045,6205,108052,131049
1044,Vaikom,99487,0.69%,17,5852,6206,102917,116216
1045,Sherghati,99072,1.39%,13,7621,6231,150185,201088
1046,Bhaderwah,99019,0.99%,12,8252,6235,103970,111085
1047,Una,98955,0.59%,11,8996,6242,101840,109663
1048,Naubatpur,98828,1.58%,26,3801,6251,155325,206423
1049,Khairthal,98753,0.89%,9,10973,6256,103133,117925
1050,Dharmanagar,98672,0.52%,16,6167,6262,101226,113338
1051,Jokihat,98437,2.64%,40,2461,6276,113229,181358
1052,Jamner,98206,1%,9,10912,6295,104669,121362
1053,Chari Anantapur,98131,1.15%,42,2336,6299,105917,120439
1054,Kawardha,98124,0.60%,10,9812,6300,101065,110120
1055,Haringhata,97981,0.56%,32,3062,6316,100696,108175
1056,Wazirganj,97804,2.33%,17,5753,6327,106114,216017
1057,Armoor,97765,0.47%,10,9777,6330,100068,105747
1058,Tura,97664,0.73%,15,6511,6340,104266,119495
1059,Digboi,97526,0.81%,16,6095,6345,99967,106530
1060,Nahtaur,97304,0.81%,10,9730,6357,105701,134976
1061,Chirawa,97100,1.10%,16,6069,6368,100242,114586
1062,Sunam,97076,0.86%,13,7467,6370,102880,121397
1063,Sikka,97043,0.65%,17,5708,6371,101263,113535
1064,Anjar,97040,1.13%,15,6469,6372,106048,117225
1065,Jhargram,96823,0.47%,11,8802,6388,99067,102262
1066,Narwana,96815,1.09%,9,10757,6389,100651,116486
1067,Thangadh,96771,0.80%,16,6048,6391,100609,117457
1068,Nawada,96753,5.03%,26,3721,6392,99444,139139
1069,Nabadwip,96603,1.23%,21,4600,6395,99259,105568
1070,Sillod,96562,0.70%,8,12070,6399,98458,104146
1071,Duttapulia,96473,0.59%,23,4194,6404,106916,113179
1072,Sikandra Rao,96448,0.66%,6,16075,6408,115183,136218
1073,Atrauli,96423,0.76%,11,8766,6412,100064,113611
1074,Manigachhi,96369,5.94%,33,2920,6416,106550,183214
1075,Bardoli,96340,0.86%,14,6881,6418,100444,136724
1076,Khordha,96052,0.65%,18,5336,6434,100929,105833
1077,Bhargama,95800,1.05%,37,2589,6447,102323,132176
1078,Purba Rameshwarpur,95771,0.95%,30,3192,6448,110811,117523
1079,Azamnagar,95726,1.50%,34,2815,6452,101764,216320
1080,Bhagwānpur,95709,1.62%,15,6381,6454,112093,137727
1081,Barari,95619,2.97%,29,3297,6457,100779,134318
1082,Tardih,95569,1.26%,21,4551,6462,117043,143642
1083,Sikandra,95540,3.09%,39,2450,6463,162150,201384
1084,Lalsot,95532,2.26%,16,5971,6466,100605,146084
1085,Ganj Dundwara,95454,0.71%,13,7343,6475,98805,108827
1086,Jhajha,95336,2.59%,14,6810,6482,100486,174274
1087,Mairwa,95214,0.97%,24,3967,6488,134981,206975
1088,Panchananpur,95163,0.54%,16,5948,6490,97728,104469
1089,Nawalgarh,94664,0.64%,13,7282,6524,99959,123464
1090,Palladam,94623,0.60%,26,3639,6528,103070,111235
1091,Parghumti,94590,0.51%,63,1501,6529,97631,104847
1092,Doda,94523,0.32%,5,18905,6531,96023,101107
1093,Wanaparthy,94477,0.42%,10,9448,6537,99566,103901
1094,Niwai,94428,3.62%,17,5555,6543,99293,116563
1095,Pithapuram,94402,-0.04%,9,10489,6547,94225,91257
1096,Peppeganj,94394,1.26%,23,4104,6550,100308,113252
1097,Dondaicha,94353,0.96%,8,11794,6554,100420,118242
1098,Ekangar Sarai,94319,8.07%,33,2858,6556,100458,148115
1099,Phaltan,94315,1.09%,14,6737,6557,98078,111353
1100,Pariharpur,94280,1.24%,28,3367,6561,116102,144909
1101,Kiratpur,94234,0.79%,5,18847,6565,97932,109288
1102,Jalore,94192,0.92%,16,5887,6570,98472,126169
1103,Pandaveswar,94134,0.53%,20,4707,6576,96629,100914
1104,Ratangarh,94102,0.67%,15,6273,6578,99661,109279
1105,Suraimanpur,93715,1.92%,18,5206,6605,107988,144376
1106,Barpeta Road,93703,1.17%,16,5856,6606,97963,104313
1107,Bantwal Cross Road,93662,2.32%,27,3469,6610,100213,118944
1108,Periyakulam,93263,0.67%,12,7772,6637,96376,104733
1109,Rudauli,93257,0.85%,14,6661,6638,101134,132683
1110,Goh,93231,1.50%,12,7769,6640,105792,151505
1111,Sidhauli,93057,1.32%,16,5816,6645,106311,144337
1112,Akluj,93015,0.29%,15,6201,6648,94357,95782
1113,Sivaganga,93008,0.46%,15,6201,6651,95152,98934
1114,Tangla,93002,0.60%,10,9300,6653,95754,103924
1115,Bailhongal,92953,0.35%,9,10328,6655,94589,96706
1116,Dahanu,92938,1.65%,20,4647,6658,97724,121017
1117,Attur,92937,0.34%,12,7745,6659,94515,96624
1118,Kochas,92896,1.26%,8,11612,6666,109842,124000
1119,Viramgam,92774,1.27%,15,6185,6673,97085,112338
1120,Sopore,92764,3.83%,23,4033,6675,101603,140452
1121,Ayyampettai,92746,0.38%,9,10305,6678,96049,102042
1122,Fatehpur,92631,1.55%,19,4875,6688,143865,300566
1123,Jaisalmer,92563,1.07%,13,7120,6693,97476,130999
1124,Maharakul,92552,0.42%,29,3191,6694,94475,97617
1125,Brajarajnagar,92549,0.73%,17,5444,6695,99570,111876
1126,Kallakurichi,92476,0.83%,15,6165,6700,94338,100171
1127,Sarni,92358,1.27%,8,11545,6709,98441,113399
1128,Kalaspur,92307,0.60%,34,2715,6714,95075,100391
1129,Aranghata,92299,0.58%,23,4013,6716,96535,102073
1130,Kirodimal Nagar,92164,0.64%,10,9216,6726,95092,106342
1131,Lalkuan,92152,1.07%,24,3840,6728,100121,124306
1132,Tanda,92118,0.73%,7,13160,6730,104356,115139
1133,Tiruttani,92099,0.86%,10,9210,6732,96169,101471
1134,Talcher,91693,0.34%,27,3396,6761,93239,96690
1135,Dhoraji,91634,0.50%,10,9163,6765,93931,101422
1136,Odanthurai,91383,0.45%,13,7029,6778,93452,101264
1137,Nandura,91370,0.46%,7,13053,6779,93465,97715
1138,Mamarkha,91272,1.34%,33,2766,6791,95817,165063
1139,Mehdawal,91178,0.99%,20,4559,6801,99595,118322
1140,Katol,91096,0.73%,10,9110,6806,92905,95804
1141,Rahui,91045,1.36%,23,3958,6810,95694,120155
1142,Mallanwan,91028,0.84%,13,7002,6813,94840,104771
1143,Gadwal,91020,0.75%,9,10113,6815,94527,98321
1144,Shahapura,90788,0.28%,8,11349,6828,92051,94810
1145,Sankarankovil,90724,0.86%,11,8248,6831,93144,98583
1146,Murtijapur,90502,0.58%,10,9050,6846,93098,98635
1147,Brahmapuri,90391,0.40%,12,7533,6859,92185,96666
1148,Karimpur,90297,0.53%,15,6020,6869,100344,105367
1149,Tohana,90270,0.82%,11,8206,6872,93942,109033
1150,Mahasamund,90248,1.30%,12,7521,6877,94382,102394
1151,Kharagpur,90125,3.09%,16,5633,6883,100484,162598
1152,Upleta,89904,0.57%,9,9989,6894,92458,97839
1153,Ponnur,89725,0.58%,13,6902,6911,92335,98097
1154,Musarpatti,89690,–,30,2990,6913,95157,115046
1155,Bharthana,89588,0.78%,9,9954,6922,93048,103380
1156,Baddi,89539,0.70%,31,2888,6929,95159,107281
1157,Sohna,89445,2.30%,17,5261,6943,96461,136703
1158,Sironj,89343,0.55%,9,9927,6947,91799,104381
1159,Nanpara,89196,1.14%,13,6861,6961,97951,117611
1160,Bahalgarh,89181,1.62%,21,4247,6962,96570,120529
1161,Warisaliganj,89046,1.49%,13,6850,6968,101893,141409
1162,Khusalpur,88953,1.06%,37,2404,6974,103146,194420
1163,Raver,88914,0.87%,6,14819,6977,94449,127159
1164,Ghosi,88913,1.80%,12,7409,6978,94265,194596
1165,Sithana,88889,1.71%,19,4678,6980,99237,118256
1166,Chikkaballapura,88862,1.05%,12,7405,6984,91982,102474
1167,Mawana,88832,0.84%,8,11104,6987,92555,105647
1168,Dhuri,88759,1.10%,12,7397,6992,92316,114551
1169,Sira,88743,1.35%,10,8874,6994,93369,102575
1170,Parvathipuram,88739,0.25%,8,11092,6995,89852,92783
1171,Budhana,88719,0.93%,9,9858,6996,92817,106866
1172,Bharuwa Sumerpur,88663,0.63%,9,9851,7000,93564,104249
1173,Krishnai,88660,1.64%,22,4030,7001,97129,111416
1174,Ponkunnam,88660,7.78%,25,3546,7002,91744,103951
1175,Gobindpur,88616,4.35%,22,4028,7008,93987,130309
1176,Bindki,88607,0.59%,9,9845,7009,91218,97641
1177,Devada,88546,0.07%,12,7379,7013,88861,88690
1178,Murbad,88504,1.28%,10,8850,7016,95650,117100
1179,Nichlaul,88464,1%,18,4915,7020,98978,158918
1180,Nagari,88413,0.91%,15,5894,7023,92556,102795
1181,Sanchore,88289,1.78%,11,8026,7032,91734,106342
1182,Gulavthi,88257,3.52%,11,8023,7035,94167,122627
1183,Mazgam,88249,1.46%,7,12607,7036,96947,114286
1184,Samalkha,88198,0.86%,9,9800,7039,93693,126946
1185,Dhrangadhra,88197,0.61%,11,8018,7040,94534,106428
1186,Siswa Bazar,88076,3.99%,19,4636,7049,107504,125197
1187,Poonch,88069,1.43%,7,12581,7051,92867,136666
1188,Srinagar,88068,1.38%,14,6291,7052,94388,115918
1189,Malatipur,88013,2.16%,56,1572,7056,92939,108417
1190,Didwana,87984,1.42%,15,5866,7059,91436,100650
1191,Jintur,87940,0.48%,6,14657,7065,90036,94196
1192,Kaliyaganj,87933,0.87%,12,7328,7067,93316,105471
1193,Gudalur,87905,1.28%,17,5171,7069,90769,119088
1194,Bhinmal,87841,1.14%,12,7320,7076,93102,106056
1195,Jalalabad,87835,1.31%,12,7320,7077,92100,105324
1196,Deeg,87799,0.77%,9,9755,7082,91151,100770
1197,Jaspur,87797,0.81%,14,6271,7083,91347,102210
1198,Perambalur,87772,0.36%,13,6752,7085,89345,96349
1199,Pailapool,87738,2.03%,36,2437,7089,97868,162978
1200,Nadanghat,87735,3.17%,36,2437,7090,90432,97245
1201,Sanjarpur,87693,–,27,3248,7095,95187,168855
1202,Kopargaon,87579,1.18%,14,6256,7100,96211,110559
1203,Basantpur,87497,1.23%,36,2430,7105,144315,225609
1204,Campierganj,87450,–,33,2650,7110,104364,171301
1205,Warora,87386,0.37%,14,6242,7116,89001,91352
1206,Dharamshala,87128,0.67%,27,3227,7139,90034,98849
1207,Piro,87099,1.15%,10,8710,7140,95232,114760
1208,Parsauni,87044,2.39%,28,3109,7147,97738,120994
1209,Balachandrapur,87005,2.41%,33,2637,7150,88937,91582
1210,Shujalpur,86966,1.06%,12,7247,7152,93075,110531
1211,Basavakalyana,86949,0.52%,9,9661,7159,89219,97315
1212,Rajgarh,86918,0.62%,12,7243,7161,91125,101734
1213,Korutla,86646,0.38%,10,8665,7174,88273,90916
1214,Phulpur,86636,1.34%,18,4813,7175,185715,262826
1215,Mungra Badshahpur,86617,8.91%,15,5774,7176,91061,208826
1216,Gudur,86608,0.52%,10,8661,7178,94582,100350
1217,Dandari,86561,1.10%,18,4809,7182,91276,110641
1218,Vinukonda,86468,0.46%,8,10809,7189,90831,94986
1219,Neyveli Township,86442,0.85%,25,3458,7192,91536,95787
1220,Manapparai,86384,1.21%,14,6170,7199,88210,96151
1221,Jahangirabad,86362,0.81%,7,12337,7201,89850,106378
1222,Gangakhed,86295,0.43%,8,10787,7203,91456,95971
1223,Chhatrapur,86289,0.31%,9,9588,7204,87640,89186
1224,Jalesar,86224,0.67%,5,17245,7212,89076,100984
1225,Maluru,86221,1%,14,6159,7213,89141,97784
1226,Rajgarh,86220,0.99%,13,6632,7214,93047,112655
1227,Manmad,86212,0.86%,12,7184,7215,89894,101579
1228,Sardhana,86199,1.37%,9,9578,7218,90061,103556
1229,Thengha,86071,1.13%,19,4530,7226,111103,164419
1230,Maynaguri,86067,3.34%,14,6148,7227,90179,115910
1231,Banmankhi,86034,1.73%,19,4528,7232,132417,155040
1232,Mahabubabad,86017,-0.04%,11,7820,7235,85851,83044
1233,Nakhola,85849,0.76%,15,5723,7247,89093,105723
1234,Sainthia,85798,0.81%,17,5047,7254,87838,91214
1235,Baberu,85765,0.99%,11,7797,7257,88481,96948
1236,Kadayanallur,85741,0.52%,7,12249,7262,87951,91360
1237,Harda,85731,1.18%,12,7144,7263,89383,101078
1238,Haripal,85634,1.50%,25,3425,7273,105750,111367
1239,Ghatampur,85590,1.07%,9,9510,7276,94132,104164
1240,Bahuara,85548,1.78%,26,3290,7280,90259,105122
1241,Gola Bazar,85433,2.12%,29,2946,7293,91292,172477
1242,Haroa,85307,4.32%,39,2187,7302,89345,99196
1243,Garhmuktesar,85251,0.94%,8,10656,7310,89210,135129
1244,Jalaun,85109,0.48%,7,12158,7318,87143,95204
1245,Shiroli,85103,0.34%,16,5319,7320,86530,90642
1246,Kudra,85084,0.96%,10,8508,7324,89130,124957
1247,Degloor,85015,0.36%,5,17003,7332,86553,90836
1248,Sadabad,84994,0.70%,5,16999,7337,87953,98085
1249,Vadakkenchery,84967,4.68%,26,3268,7342,93115,102260
1250,Hilsa,84814,1.03%,8,10602,7355,90676,105323
1251,Rajauli,84805,2.16%,24,3534,7356,91710,114927
1252,Belthara Road,84763,3.20%,17,4986,7361,94344,146235
1253,Thawe,84564,0.97%,24,3524,7368,103221,185608
1254,Silapathar,84512,0.73%,12,7043,7373,86104,93826
1255,Sumerpur,84508,0.95%,16,5282,7375,90169,106673
1256,Ukhrul,84504,0.41%,9,9389,7377,86246,89068
1257,Udalguri,84383,0.63%,11,7671,7389,88541,95055
1258,Kannad,84355,0.90%,7,12051,7391,89624,107240
1259,Hanumangarh,84348,0.72%,10,8435,7393,87372,98427
1260,Khirz Sarai,84215,5.02%,24,3509,7402,89420,110753
1261,Pawapuri,84202,–,32,2631,7403,93675,137637
1262,Ratanpur,84171,1.60%,27,3117,7407,101345,134043
1263,Repalle,83974,-0.03%,13,6460,7419,83834,81112
1264,Parbatta,83952,1.66%,20,4198,7420,89393,156869
1265,Khopoli,83936,1.27%,11,7631,7422,87718,102022
1266,Jamakhandi,83928,0.26%,10,8393,7423,85003,85903
1267,Manawar,83779,1.82%,10,8378,7431,88765,103215
1268,Domkal,83717,3.14%,19,4406,7433,87503,97080
1269,Chandipur,83709,3.77%,39,2146,7435,93316,126820
1270,Amethi,83676,0.95%,13,6437,7437,91703,118564
1271,Samarlakota,83644,-0.03%,11,7604,7441,83541,80990
1272,Giingee,83571,0.31%,6,13929,7449,86376,97342
1273,Salepur,83388,0.37%,20,4169,7462,84918,87035
1274,Tulsipur,83352,0.90%,7,11907,7465,97991,125408
1275,Hasanpur,83260,1.23%,8,10408,7473,85546,99640
1276,Pratapgarh,83246,0.89%,10,8325,7475,86920,99517
1277,Sihor,83184,0.66%,12,6932,7480,85907,96998
1278,Rajam,83153,0.29%,14,5940,7484,85892,87577
1279,Rupnagar,83035,0.54%,16,5190,7493,86802,91016
1280,Digras,82952,0.48%,8,10369,7502,84932,89207
1281,Umarkhed,82900,0.80%,7,11843,7505,84747,94940
1282,Kodada,82864,-0.05%,11,7533,7508,82657,79656
1283,Husainabad,82792,2.83%,15,5519,7516,87302,112207
1284,Kaghaznagar,82706,0.40%,9,9190,7527,85913,88762
1285,Utraula,82688,0.93%,14,5906,7529,86516,106254
1286,Selu,82684,0.84%,9,9187,7531,84720,89157
1287,Sikandarpur,82669,2.03%,13,6359,7532,86552,111601
1288,Manjhi,82659,3.06%,28,2952,7533,111362,158510
1289,Belhari,82630,1.39%,25,3305,7534,128623,157793
1290,Morshi,82619,0.56%,9,9180,7535,84922,89673
1291,Aranthangi,82562,0.71%,12,6880,7540,87639,90042
1292,Lohna WEST,82547,4.87%,27,3057,7542,90812,146671
1293,Rangia,82382,1.10%,21,3923,7566,85390,92861
1294,Haspura,82295,1.21%,22,3741,7576,130510,243976
1295,Bahjoi,82244,1.16%,7,11749,7578,85456,94945
1296,Ashta,82031,0.89%,8,10254,7599,85635,103232
1297,Sardarshahar,81994,0.63%,16,5125,7601,86182,95120
1298,Mansa,81902,2.20%,13,6300,7607,87849,104201
1299,Aurai,81853,2.34%,28,2923,7615,94488,205295
1300,Shajapur,81830,0.89%,11,7439,7618,87105,99855
1301,Captainganj,81825,4.32%,17,4813,7620,85771,117719
1302,Khunti,81707,2.36%,18,4539,7630,86763,111816
1303,Narsipatnam,81603,0.97%,11,7418,7643,82670,83897
1304,Utelwa,81518,0.99%,12,6793,7649,95683,147216
1305,Banethu,81466,1.05%,39,2089,7654,92226,204112
1306,Kendujhargarh,81391,0.51%,14,5814,7659,83473,86864
1307,Jadcherla,81301,0.46%,11,7391,7669,83166,86372
1308,Lunavada,80941,0.75%,7,11563,7710,83957,91658
1309,Bijni,80878,1.34%,14,5777,7713,87430,102021
1310,Mansa,80814,0.68%,14,5772,7717,83555,98949
1311,Sundargarh,80672,0.97%,13,6206,7729,83520,93194
1312,Bishnupur,80584,0.40%,11,7326,7735,82202,87655
1313,Dhamdaha,80582,4.74%,32,2518,7737,84619,96940
1314,Gangarampur,80562,1.85%,16,5035,7741,87468,100471
1315,Almora,80513,0.71%,9,8946,7746,83372,92856
1316,Hunsur,80467,1.08%,12,6706,7755,85019,95847
1317,Champa,80239,0.64%,14,5731,7772,136212,182001
1318,Sattur,80207,0.63%,12,6684,7773,82728,87569
1319,Siddhpur,80189,1.50%,9,8910,7776,83156,104570
1320,Phulparas,80079,1.72%,24,3337,7788,85434,188887
1321,Krishnarajanagara,80075,0.72%,8,10009,7790,84561,94390
1322,Ganpatganj,79982,1.64%,36,2222,7795,102760,162817
1323,Fatehpur,79968,1.05%,30,2666,7797,84116,100420
1324,Rabakavi Banahatti,79923,0.27%,11,7266,7800,80999,83577
1325,Panskura,79913,0.93%,25,3197,7802,83607,89718
1326,Pandhurna,79810,0.73%,8,9976,7818,81233,84969
1327,Bilaspur,79794,0.90%,13,6138,7820,83353,101605
1328,Manda Road,79793,1.05%,37,2157,7821,100120,249857
1329,Pehowa,79710,0.81%,7,11387,7828,82902,122353
1330,Rasipuram,79519,0.54%,15,5301,7840,89594,120636
1331,Jowai,79510,0.73%,12,6626,7841,82410,91354
1332,Yellandu,79447,-0.03%,10,7945,7849,79337,76799
1333,Arasikere,79357,0.76%,11,7214,7860,82365,90782
1334,Mohmadi,79327,0.75%,8,9916,7866,82280,108779
1335,Thanam,79258,0.47%,11,7205,7869,81111,85155
1336,Puliyangudi,79246,0.45%,8,9906,7872,81007,86327
1337,Sainagar,79241,0.81%,13,6095,7874,84017,132929
1338,Titabor,79094,1.32%,20,3955,7881,81162,91972
1339,Devakottai,79038,0.37%,10,7904,7888,80500,82487
1340,Nuzvid,79006,-0.03%,10,7901,7892,78873,76369
1341,Vandavasi,78977,0.51%,10,7898,7893,83322,88017
1342,Adoor,78834,0.67%,27,2920,7912,82987,101776
1343,Bobbili,78803,0.66%,9,8756,7915,81361,82836
1344,Trimohini,78801,7.30%,34,2318,7916,81257,86239
1345,Kondagaon,78653,0.30%,12,6554,7926,81356,82971
1346,Nadapuram,78547,0.76%,35,2244,7934,81505,96267
1347,Macherla,78539,0.49%,8,9817,7935,80450,85488
