Rank,Urban Area,Population Estimate (2025),1 Year Change (over 2024),Land Area (Km²),Density (P/Km²),Global Rank,Projections (2030),Projections (2050)
193,Saharsa,456879,1.18%,67,6819,1218,484447,587466
194,Raiganj,456239,1.32%,71,6426,1221,483775,618020
195,Basti,450449,1.46%,48,9384,1236,473799,579052
196,Vijayapura,450192,0.25%,57,7898,1237,457384,465668
197,Canning,447522,0.60%,142,3152,1242,494170,527760
198,Parbhani,446508,0.38%,32,13953,1246,454930,472992
199,Thanjavur,443736,0.60%,56,7924,1255,452259,482140
200,Nizamabad,442690,0.61%,50,8854,1258,451980,470053
201,Anantapur,442201,0.53%,46,9613,1261,455381,486090
202,Dindigul,438809,0.62%,51,8604,1270,452234,500438
203,Cuddalore,436495,0.32%,76,5743,1279,446056,462743
204,Sambhal,435760,0.64%,26,16760,1285,451233,491007
205,Bhilwara,434406,0.86%,51,8518,1288,457184,500337
206,Jhusi,431880,1.58%,79,5467,1294,515067,659045
207,Padrauna,431649,2.06%,130,3320,1296,486282,633757
208,Katihar,430470,0.85%,41,10499,1300,462923,526555
209,Khansahib,428041,2.03%,133,3218,1307,465092,603418
210,Shivamogga,423880,0.78%,49,8651,1319,437681,479431
211,Deoghar,423674,2.82%,59,7181,1320,448423,518895
212,Bathinda,421753,0.90%,66,6390,1331,441453,502144
213,Navsari,421121,0.93%,35,12032,1336,442561,501842
214,Giridih,420525,1.60%,72,5841,1337,433089,454517
215,Hosur,420017,2.08%,80,5250,1340,441335,492130
216,Basirhat,419703,1.16%,120,3498,1341,432912,488689
217,Chandrapur,416903,0.34%,53,7866,1347,423956,443310
218,Hathras,413122,1.36%,35,11803,1362,432850,488444
219,Bharuch,411095,1.05%,43,9560,1371,429889,488927
220,Waidhan,408489,1.43%,87,4695,1385,430750,492727
221,Jalna,406973,0.49%,38,10710,1388,418528,451506
222,Bhind,406712,0.80%,29,14025,1390,424604,466886
223,Kumbakonam,405885,0.48%,47,8636,1393,415629,428682
224,Tumakuru,403109,0.70%,49,8227,1403,419555,476448
225,Bharatpur,402987,0.79%,36,11194,1404,418942,476078
226,Palakkad,401965,0.61%,58,6930,1406,415701,450215
227,Bhiwadi,401290,1.50%,73,5497,1411,431498,508830
228,Modinagar,400401,1.01%,44,9100,1414,422328,490433
229,Pratapgarh,398315,0.96%,47,8475,1421,420213,483906
230,Khandwa,394910,1.30%,33,11967,1435,417063,474761
231,Kanchipuram,394850,0.55%,40,9871,1437,405945,437373
232,Sonipat,394583,0.93%,51,7737,1438,414505,480890
233,Mahesana,394304,0.91%,41,9617,1441,410284,456873
234,Morena,393553,0.86%,27,14576,1445,409007,462211
235,Kadapa,393513,0.48%,40,9838,1446,402924,427184
236,Motihari,392303,1.55%,44,8916,1450,414378,495851
237,Nadiad,391934,0.82%,34,11527,1452,421661,478516
238,Tamkuhi Raj,389533,4.64%,145,2686,1463,425520,629897
239,Eluru,383068,-0.03%,41,9343,1483,382541,371155
240,Rewa,383019,0.88%,55,6964,1485,401320,445557
241,Badaun,382686,1.19%,25,15307,1486,398155,438088
242,Kralpora,377602,1.93%,124,3045,1503,455976,802621
243,Tirunelveli,376005,1.22%,74,5081,1509,400853,436971
244,Viluppuram,375616,0.40%,41,9161,1514,383053,401370
245,Debandi,374423,0.52%,81,4623,1523,391374,415595
246,Junagadh,373265,0.66%,44,8483,1528,384061,406571
